study,link to article,links to reads
Clemente 2015,https://www.ncbi.nlm.nih.gov/pubmed/26229982,https://www.ncbi.nlm.nih.gov/sra/?term=ERA000116
Obregon-Tito 2015,https://www.ncbi.nlm.nih.gov/pubmed/25807110,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA268964/
Yap 2014,https://www.ncbi.nlm.nih.gov/pubmed/24650346,https://www.ncbi.nlm.nih.gov/sra/?term=SRP052424
HMP 2012,https://www.ncbi.nlm.nih.gov/pubmed/22699610,https://www.ncbi.nlm.nih.gov/sra?term=SRP002163
Qin 2012,https://www.ncbi.nlm.nih.gov/pubmed/23023125,https://www.ncbi.nlm.nih.gov/sra?term=SRA045646;https://www.ncbi.nlm.nih.gov/sra?term=SRA050230
Zeevi 2015,https://www.ncbi.nlm.nih.gov/pubmed/26590418,http://www.ebi.ac.uk/ena/data/view/PRJEB11532
Karlsson 2013,https://www.ncbi.nlm.nih.gov/pubmed/23719380,https://www.ncbi.nlm.nih.gov/sra?term=ERP002469
Rampelli 2015,https://www.ncbi.nlm.nih.gov/pubmed/25981789,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA278393
Zeller 2014,https://www.ncbi.nlm.nih.gov/pubmed/25432777,http://www.ebi.ac.uk/ena/data/view/PRJEB6070
Nielsen 2014,https://www.ncbi.nlm.nih.gov/pubmed/24997787,http://www.ebi.ac.uk/ena/data/view/PRJEB1220;http://www.ebi.ac.uk/ena/data/view/PRJEB674;http://www.ebi.ac.uk/ena/data/view/PRJEB1046
Nishijima 2016,https://www.ncbi.nlm.nih.gov/pubmed/26951067,https://trace.ddbj.nig.ac.jp/BPSearch/bioproject?acc=PRJDB3601
Tyakht 2013,https://www.ncbi.nlm.nih.gov/pubmed/24036685,https://www.ncbi.nlm.nih.gov/sra?term=SRA059011
