category	sample	sum_abund
Fluoroquinolone	F23	3.26e-08
Aminoglycoside	F23	4.31e-09
Lipopeptide	F23	5.14e-08
Tetracycline derivative	F23	1.34e-08
Macrolide	F23	1.49e-08
Aminocoumarin	F23	1.08e-08
Beta-lactam	F23	2.50e-08
Rifampin	F23	1.21e-09
Fluoroquinolones	F23	1.79e-09
Metals	F23	7.92e-07
Biocides	F23	4.59e-07
Metals	F36	9.35e-07
Biocides	F36	5.61e-07
Fluoroquinolone	F3	1.38e-08
Lipopeptide	F3	1.37e-08
Tetracycline derivative	F3	7.87e-09
Aminocoumarin	F3	3.73e-09
Beta-lactam	F3	4.67e-09
Fluoroquinolones	F3	1.40e-08
Metals	F3	1.45e-06
Biocides	F3	3.28e-07
Aminocoumarin	F49	2.59e-08
Beta-lactam	F49	1.62e-08
Metals	F49	3.90e-07
Biocides	F49	1.70e-07
Biocides	F50	1.85e-06
Fluoroquinolone	F5	1.56e-08
Lipopeptide	F5	8.86e-09
Tetracycline derivative	F5	1.84e-08
Macrolide	F5	4.20e-09
Aminocoumarin	F5	5.15e-09
Beta-lactam	F5	1.31e-08
Fluoroquinolones	F5	1.82e-09
Metals	F5	1.29e-06
Biocides	F5	4.61e-07
Fluoroquinolone	F6	3.48e-09
Aminoglycoside	F6	2.06e-10
Lipopeptide	F6	2.32e-09
Peptide	F6	1.95e-10
Tetracycline derivative	F6	3.11e-09
Macrolide	F6	2.33e-09
Aminocoumarin	F6	2.06e-09
Rifamycin	F6	7.56e-10
Beta-lactam	F6	1.55e-08
Phenicol	F6	1.85e-09
Glycopeptide	F6	1.66e-09
Coumarin	F6	3.90e-09
Rifampin	F6	2.62e-08
Fluoroquinolones	F6	2.99e-08
Metals	F6	5.25e-07
Biocides	F6	1.25e-07
Fluoroquinolone	F9	5.79e-09
Lipopeptide	F9	3.73e-09
Tetracycline derivative	F9	6.69e-09
Macrolide	F9	2.32e-09
Aminocoumarin	F9	4.07e-09
Rifamycin	F9	1.15e-09
Beta-lactam	F9	2.03e-08
Phenicol	F9	6.61e-09
Glycopeptide	F9	1.69e-09
Rifampin	F9	1.14e-08
Fluoroquinolones	F9	3.29e-09
Metals	F9	1.47e-06
Biocides	F9	4.35e-07
Fluoroquinolone	HMP-700013715	9.75e-09
Aminoglycoside	HMP-700013715	1.10e-08
Lipopeptide	HMP-700013715	5.89e-09
Peptide	HMP-700013715	1.23e-09
Tetracycline derivative	HMP-700013715	2.06e-07
Streptogramin	HMP-700013715	2.88e-09
Macrolide	HMP-700013715	7.52e-09
Aminocoumarin	HMP-700013715	4.03e-09
Rifamycin	HMP-700013715	1.78e-09
Diaminopyrimidine	HMP-700013715	2.12e-09
Nucleoside	HMP-700013715	1.76e-09
Beta-lactam	HMP-700013715	1.09e-07
Phenicol	HMP-700013715	2.29e-09
Lincosamide	HMP-700013715	1.10e-08
Glycopeptide	HMP-700013715	2.68e-11
Coumarin	HMP-700013715	6.84e-08
Rifampin	HMP-700013715	1.16e-07
Sulfonamides	HMP-700013715	1.23e-08
Fluoroquinolones	HMP-700013715	2.39e-07
Metals	HMP-700013715	4.24e-06
Biocides	HMP-700013715	1.39e-06
Fluoroquinolone	HMP-700014562	3.86e-11
Aminoglycoside	HMP-700014562	3.23e-09
Tetracycline derivative	HMP-700014562	1.23e-07
Streptogramin	HMP-700014562	1.03e-08
Macrolide	HMP-700014562	1.03e-08
Aminocoumarin	HMP-700014562	1.42e-11
Diaminopyrimidine	HMP-700014562	2.33e-10
Nucleoside	HMP-700014562	9.59e-10
Beta-lactam	HMP-700014562	3.06e-08
Phenicol	HMP-700014562	1.53e-10
Lincosamide	HMP-700014562	1.38e-08
Glycopeptide	HMP-700014562	1.62e-10
Coumarin	HMP-700014562	2.39e-08
Rifampin	HMP-700014562	1.65e-07
Sulfonamides	HMP-700014562	1.24e-08
Fluoroquinolones	HMP-700014562	3.13e-07
Metals	HMP-700014562	2.36e-06
Biocides	HMP-700014562	8.97e-07
Fluoroquinolone	HMP-700014837	2.18e-10
Aminoglycoside	HMP-700014837	1.28e-08
Lipopeptide	HMP-700014837	8.28e-11
Peptide	HMP-700014837	3.91e-11
Tetracycline derivative	HMP-700014837	1.64e-07
Streptogramin	HMP-700014837	9.79e-09
Macrolide	HMP-700014837	1.01e-08
Sulfonamide	HMP-700014837	1.49e-09
Aminocoumarin	HMP-700014837	1.23e-10
Rifamycin	HMP-700014837	4.32e-11
Diaminopyrimidine	HMP-700014837	6.20e-09
Nucleoside	HMP-700014837	1.02e-09
Beta-lactam	HMP-700014837	3.30e-08
Phenicol	HMP-700014837	3.78e-09
Lincosamide	HMP-700014837	1.34e-08
Glycopeptide	HMP-700014837	1.34e-10
Coumarin	HMP-700014837	8.66e-08
Rifampin	HMP-700014837	1.24e-07
Sulfonamides	HMP-700014837	3.41e-09
Fluoroquinolones	HMP-700014837	2.40e-07
Metals	HMP-700014837	3.34e-06
Biocides	HMP-700014837	9.11e-07
Fluoroquinolone	HMP-700015113	3.54e-09
Aminoglycoside	HMP-700015113	2.24e-09
Lipopeptide	HMP-700015113	2.51e-09
Peptide	HMP-700015113	5.33e-10
Tetracycline derivative	HMP-700015113	1.72e-07
Streptogramin	HMP-700015113	1.22e-08
Macrolide	HMP-700015113	1.61e-08
Sulfonamide	HMP-700015113	7.75e-10
Aminocoumarin	HMP-700015113	1.27e-09
Rifamycin	HMP-700015113	5.20e-10
Diaminopyrimidine	HMP-700015113	8.52e-10
Beta-lactam	HMP-700015113	3.89e-08
Phenicol	HMP-700015113	5.20e-10
Lincosamide	HMP-700015113	3.30e-08
Coumarin	HMP-700015113	2.00e-07
Rifampin	HMP-700015113	2.12e-07
Sulfonamides	HMP-700015113	3.82e-08
Fluoroquinolones	HMP-700015113	5.34e-07
Metals	HMP-700015113	4.07e-06
Biocides	HMP-700015113	1.76e-06
Fluoroquinolone	HMP-700015181	1.22e-09
Aminoglycoside	HMP-700015181	1.46e-09
Lipopeptide	HMP-700015181	7.86e-10
Peptide	HMP-700015181	6.38e-11
Tetracycline derivative	HMP-700015181	3.74e-07
Streptogramin	HMP-700015181	4.99e-08
Macrolide	HMP-700015181	5.24e-08
Aminocoumarin	HMP-700015181	4.79e-10
Rifamycin	HMP-700015181	1.86e-10
Diaminopyrimidine	HMP-700015181	1.89e-09
Nucleoside	HMP-700015181	3.86e-10
Beta-lactam	HMP-700015181	2.30e-07
Phenicol	HMP-700015181	1.32e-09
Lincosamide	HMP-700015181	5.90e-08
Glycopeptide	HMP-700015181	2.57e-10
Coumarin	HMP-700015181	7.40e-08
Rifampin	HMP-700015181	2.02e-07
Sulfonamides	HMP-700015181	5.88e-08
Fluoroquinolones	HMP-700015181	4.66e-07
Metals	HMP-700015181	4.09e-06
Biocides	HMP-700015181	1.40e-06
Fluoroquinolone	HMP-700015250	8.80e-12
Aminoglycoside	HMP-700015250	1.35e-08
Lipopeptide	HMP-700015250	9.18e-12
Tetracycline derivative	HMP-700015250	2.54e-07
Streptogramin	HMP-700015250	1.76e-08
Macrolide	HMP-700015250	2.01e-08
Sulfonamide	HMP-700015250	4.34e-10
Diaminopyrimidine	HMP-700015250	1.92e-09
Nucleoside	HMP-700015250	1.98e-09
Beta-lactam	HMP-700015250	1.90e-07
Phenicol	HMP-700015250	1.92e-10
Lincosamide	HMP-700015250	1.83e-08
Coumarin	HMP-700015250	9.37e-08
Rifampin	HMP-700015250	1.98e-07
Sulfonamides	HMP-700015250	1.57e-08
Fluoroquinolones	HMP-700015250	3.66e-07
Metals	HMP-700015250	2.87e-06
Biocides	HMP-700015250	7.76e-07
Fluoroquinolone	HMP-700016142	8.94e-11
Aminoglycoside	HMP-700016142	1.42e-10
Lipopeptide	HMP-700016142	1.02e-10
Tetracycline derivative	HMP-700016142	1.74e-07
Streptogramin	HMP-700016142	1.47e-08
Macrolide	HMP-700016142	1.47e-08
Rifamycin	HMP-700016142	3.37e-11
Diaminopyrimidine	HMP-700016142	3.74e-10
Beta-lactam	HMP-700016142	4.85e-08
Phenicol	HMP-700016142	3.37e-11
Lincosamide	HMP-700016142	1.46e-08
Glycopeptide	HMP-700016142	2.74e-10
Coumarin	HMP-700016142	7.89e-08
Rifampin	HMP-700016142	1.48e-07
Sulfonamides	HMP-700016142	5.69e-08
Fluoroquinolones	HMP-700016142	2.58e-07
Metals	HMP-700016142	3.28e-06
Biocides	HMP-700016142	1.35e-06
Fluoroquinolone	HMP-700016456	2.18e-10
Aminoglycoside	HMP-700016456	8.06e-09
Lipopeptide	HMP-700016456	2.11e-10
Tetracycline derivative	HMP-700016456	1.69e-07
Streptogramin	HMP-700016456	1.59e-08
Macrolide	HMP-700016456	2.87e-08
Sulfonamide	HMP-700016456	9.33e-11
Aminocoumarin	HMP-700016456	6.17e-11
Rifamycin	HMP-700016456	1.58e-11
Diaminopyrimidine	HMP-700016456	6.35e-09
Nucleoside	HMP-700016456	1.05e-09
Beta-lactam	HMP-700016456	1.01e-08
Phenicol	HMP-700016456	4.75e-10
Lincosamide	HMP-700016456	1.92e-08
Glycopeptide	HMP-700016456	1.66e-09
Coumarin	HMP-700016456	9.35e-08
Rifampin	HMP-700016456	1.31e-07
Sulfonamides	HMP-700016456	3.18e-08
Fluoroquinolones	HMP-700016456	2.19e-07
Metals	HMP-700016456	3.02e-06
Biocides	HMP-700016456	9.14e-07
Fluoroquinolone	HMP-700016610	6.69e-11
Aminoglycoside	HMP-700016610	2.04e-10
Lipopeptide	HMP-700016610	6.29e-11
Tetracycline derivative	HMP-700016610	1.83e-07
Streptogramin	HMP-700016610	8.90e-08
Macrolide	HMP-700016610	8.91e-08
Aminocoumarin	HMP-700016610	1.26e-11
Rifamycin	HMP-700016610	1.25e-11
Diaminopyrimidine	HMP-700016610	1.22e-09
Nucleoside	HMP-700016610	1.53e-10
Beta-lactam	HMP-700016610	1.28e-07
Phenicol	HMP-700016610	1.36e-10
Lincosamide	HMP-700016610	9.03e-08
Glycopeptide	HMP-700016610	2.88e-11
Coumarin	HMP-700016610	1.13e-07
Rifampin	HMP-700016610	1.83e-07
Sulfonamides	HMP-700016610	3.19e-08
Fluoroquinolones	HMP-700016610	4.29e-07
Metals	HMP-700016610	2.62e-06
Biocides	HMP-700016610	8.34e-07
Fluoroquinolone	HMP-700016960	2.77e-12
Aminoglycoside	HMP-700016960	4.20e-09
Tetracycline derivative	HMP-700016960	1.33e-07
Streptogramin	HMP-700016960	2.34e-08
Macrolide	HMP-700016960	2.51e-08
Diaminopyrimidine	HMP-700016960	2.06e-11
Nucleoside	HMP-700016960	1.56e-09
Beta-lactam	HMP-700016960	3.75e-08
Phenicol	HMP-700016960	6.41e-10
Lincosamide	HMP-700016960	2.35e-08
Glycopeptide	HMP-700016960	1.69e-10
Coumarin	HMP-700016960	1.03e-07
Rifampin	HMP-700016960	1.98e-07
Sulfonamides	HMP-700016960	3.29e-08
Fluoroquinolones	HMP-700016960	3.79e-07
Metals	HMP-700016960	2.92e-06
Biocides	HMP-700016960	1.25e-06
Fluoroquinolone	HMP-700021306	5.01e-11
Aminoglycoside	HMP-700021306	2.08e-09
Lipopeptide	HMP-700021306	1.99e-11
Tetracycline derivative	HMP-700021306	1.64e-07
Streptogramin	HMP-700021306	5.63e-09
Macrolide	HMP-700021306	5.64e-09
Aminocoumarin	HMP-700021306	3.15e-11
Rifamycin	HMP-700021306	1.44e-11
Diaminopyrimidine	HMP-700021306	4.01e-09
Nucleoside	HMP-700021306	3.74e-10
Beta-lactam	HMP-700021306	1.85e-08
Phenicol	HMP-700021306	1.93e-09
Lincosamide	HMP-700021306	1.07e-08
Glycopeptide	HMP-700021306	1.02e-11
Coumarin	HMP-700021306	1.93e-08
Rifampin	HMP-700021306	6.99e-08
Sulfonamides	HMP-700021306	6.50e-09
Fluoroquinolones	HMP-700021306	9.38e-08
Metals	HMP-700021306	3.92e-06
Biocides	HMP-700021306	9.13e-07
Fluoroquinolone	HMP-700021824	1.07e-10
Aminoglycoside	HMP-700021824	5.10e-09
Lipopeptide	HMP-700021824	2.04e-11
Peptide	HMP-700021824	6.08e-11
Tetracycline derivative	HMP-700021824	2.62e-07
Streptogramin	HMP-700021824	7.84e-08
Macrolide	HMP-700021824	9.93e-08
Aminocoumarin	HMP-700021824	1.62e-11
Rifamycin	HMP-700021824	3.18e-12
Diaminopyrimidine	HMP-700021824	5.66e-09
Nucleoside	HMP-700021824	2.37e-09
Beta-lactam	HMP-700021824	5.28e-08
Phenicol	HMP-700021824	1.67e-08
Lincosamide	HMP-700021824	4.62e-08
Glycopeptide	HMP-700021824	2.85e-09
Coumarin	HMP-700021824	2.45e-08
Rifampin	HMP-700021824	1.31e-07
Sulfonamides	HMP-700021824	5.38e-09
Fluoroquinolones	HMP-700021824	1.93e-07
Metals	HMP-700021824	4.02e-06
Biocides	HMP-700021824	1.21e-06
Fluoroquinolone	HMP-700023113	2.64e-10
Aminoglycoside	HMP-700023113	9.73e-10
Lipopeptide	HMP-700023113	2.90e-10
Tetracycline derivative	HMP-700023113	3.24e-07
Streptogramin	HMP-700023113	6.79e-08
Macrolide	HMP-700023113	6.82e-08
Aminocoumarin	HMP-700023113	1.23e-10
Rifamycin	HMP-700023113	4.67e-11
Diaminopyrimidine	HMP-700023113	1.85e-09
Nucleoside	HMP-700023113	2.34e-10
Beta-lactam	HMP-700023113	2.72e-08
Phenicol	HMP-700023113	1.52e-10
Lincosamide	HMP-700023113	6.94e-08
Glycopeptide	HMP-700023113	4.96e-11
Coumarin	HMP-700023113	8.07e-09
Rifampin	HMP-700023113	1.41e-07
Sulfonamides	HMP-700023113	1.13e-08
Fluoroquinolones	HMP-700023113	2.65e-07
Metals	HMP-700023113	3.94e-06
Biocides	HMP-700023113	1.27e-06
Fluoroquinolone	HMP-700023267	2.85e-12
Aminoglycoside	HMP-700023267	4.40e-08
Tetracycline derivative	HMP-700023267	2.13e-07
Streptogramin	HMP-700023267	5.47e-08
Macrolide	HMP-700023267	5.73e-08
Aminocoumarin	HMP-700023267	5.82e-12
Diaminopyrimidine	HMP-700023267	9.45e-11
Nucleoside	HMP-700023267	2.68e-08
Beta-lactam	HMP-700023267	7.70e-08
Phenicol	HMP-700023267	4.52e-10
Lincosamide	HMP-700023267	5.54e-08
Glycopeptide	HMP-700023267	6.45e-11
Coumarin	HMP-700023267	2.91e-08
Rifampin	HMP-700023267	1.59e-07
Sulfonamides	HMP-700023267	1.25e-08
Fluoroquinolones	HMP-700023267	2.48e-07
Metals	HMP-700023267	3.47e-06
Biocides	HMP-700023267	1.35e-06
Aminoglycoside	HMP-700023634	3.51e-08
Lipopeptide	HMP-700023634	9.98e-12
Tetracycline derivative	HMP-700023634	2.81e-07
Streptogramin	HMP-700023634	7.49e-08
Macrolide	HMP-700023634	7.59e-08
Diaminopyrimidine	HMP-700023634	3.68e-08
Nucleoside	HMP-700023634	1.26e-08
Beta-lactam	HMP-700023634	1.91e-08
Phenicol	HMP-700023634	2.02e-10
Lincosamide	HMP-700023634	1.08e-07
Glycopeptide	HMP-700023634	1.17e-09
Coumarin	HMP-700023634	3.92e-08
Rifampin	HMP-700023634	8.36e-08
Sulfonamides	HMP-700023634	3.27e-09
Fluoroquinolones	HMP-700023634	1.70e-07
Metals	HMP-700023634	3.95e-06
Biocides	HMP-700023634	1.05e-06
Fluoroquinolone	HMP-700023788	8.74e-11
Aminoglycoside	HMP-700023788	3.77e-09
Lipopeptide	HMP-700023788	4.48e-11
Tetracycline derivative	HMP-700023788	2.71e-07
Streptogramin	HMP-700023788	1.20e-07
Macrolide	HMP-700023788	1.21e-07
Sulfonamide	HMP-700023788	4.49e-09
Aminocoumarin	HMP-700023788	4.80e-11
Rifamycin	HMP-700023788	1.88e-11
Diaminopyrimidine	HMP-700023788	1.43e-08
Nucleoside	HMP-700023788	9.80e-10
Beta-lactam	HMP-700023788	6.10e-08
Phenicol	HMP-700023788	1.21e-08
Lincosamide	HMP-700023788	1.24e-07
Glycopeptide	HMP-700023788	6.84e-11
Coumarin	HMP-700023788	5.54e-08
Rifampin	HMP-700023788	1.31e-07
Sulfonamides	HMP-700023788	1.06e-08
Fluoroquinolones	HMP-700023788	1.58e-07
Metals	HMP-700023788	3.72e-06
Biocides	HMP-700023788	1.06e-06
Fluoroquinolone	HMP-700023845	2.43e-12
Aminoglycoside	HMP-700023845	2.27e-09
Lipopeptide	HMP-700023845	6.57e-12
Tetracycline derivative	HMP-700023845	8.52e-08
Streptogramin	HMP-700023845	2.23e-10
Macrolide	HMP-700023845	4.18e-10
Diaminopyrimidine	HMP-700023845	1.36e-09
Nucleoside	HMP-700023845	9.87e-10
Beta-lactam	HMP-700023845	1.01e-07
Phenicol	HMP-700023845	3.79e-10
Lincosamide	HMP-700023845	1.13e-09
Coumarin	HMP-700023845	9.11e-08
Rifampin	HMP-700023845	1.76e-07
Sulfonamides	HMP-700023845	3.17e-09
Fluoroquinolones	HMP-700023845	3.52e-07
Metals	HMP-700023845	2.75e-06
Biocides	HMP-700023845	1.17e-06
Fluoroquinolone	HMP-700024233	2.17e-10
Aminoglycoside	HMP-700024233	1.22e-09
Lipopeptide	HMP-700024233	2.29e-10
Peptide	HMP-700024233	1.02e-10
Tetracycline derivative	HMP-700024233	1.12e-07
Streptogramin	HMP-700024233	3.77e-08
Macrolide	HMP-700024233	4.06e-08
Aminocoumarin	HMP-700024233	1.73e-10
Rifamycin	HMP-700024233	6.12e-11
Diaminopyrimidine	HMP-700024233	3.98e-09
Nucleoside	HMP-700024233	1.69e-10
Beta-lactam	HMP-700024233	1.99e-08
Phenicol	HMP-700024233	9.15e-10
Lincosamide	HMP-700024233	3.72e-08
Coumarin	HMP-700024233	1.02e-07
Rifampin	HMP-700024233	1.62e-07
Sulfonamides	HMP-700024233	2.11e-08
Fluoroquinolones	HMP-700024233	2.79e-07
Metals	HMP-700024233	4.02e-06
Biocides	HMP-700024233	1.38e-06
Fluoroquinolone	HMP-700024318	7.31e-10
Aminoglycoside	HMP-700024318	4.81e-09
Lipopeptide	HMP-700024318	6.00e-10
Peptide	HMP-700024318	1.42e-10
Tetracycline derivative	HMP-700024318	2.91e-07
Streptogramin	HMP-700024318	8.95e-08
Macrolide	HMP-700024318	1.06e-07
Aminocoumarin	HMP-700024318	3.18e-10
Rifamycin	HMP-700024318	1.26e-10
Diaminopyrimidine	HMP-700024318	1.77e-08
Nucleoside	HMP-700024318	9.89e-11
Beta-lactam	HMP-700024318	4.80e-08
Phenicol	HMP-700024318	1.17e-09
Lincosamide	HMP-700024318	9.06e-08
Glycopeptide	HMP-700024318	2.28e-10
Coumarin	HMP-700024318	7.59e-08
Rifampin	HMP-700024318	1.62e-07
Sulfonamides	HMP-700024318	6.21e-08
Fluoroquinolones	HMP-700024318	2.76e-07
Metals	HMP-700024318	4.00e-06
Biocides	HMP-700024318	1.24e-06
Fluoroquinolone	HMP-700024437	6.41e-10
Aminoglycoside	HMP-700024437	1.88e-09
Lipopeptide	HMP-700024437	4.81e-10
Peptide	HMP-700024437	7.97e-11
Tetracycline derivative	HMP-700024437	1.26e-07
Streptogramin	HMP-700024437	3.37e-09
Macrolide	HMP-700024437	3.70e-09
Sulfonamide	HMP-700024437	9.77e-11
Aminocoumarin	HMP-700024437	2.77e-10
Rifamycin	HMP-700024437	1.61e-10
Diaminopyrimidine	HMP-700024437	3.15e-10
Nucleoside	HMP-700024437	4.82e-10
Beta-lactam	HMP-700024437	3.25e-08
Phenicol	HMP-700024437	2.72e-09
Lincosamide	HMP-700024437	3.70e-09
Glycopeptide	HMP-700024437	1.26e-10
Coumarin	HMP-700024437	4.21e-08
Rifampin	HMP-700024437	1.31e-07
Sulfonamides	HMP-700024437	2.53e-09
Fluoroquinolones	HMP-700024437	2.58e-07
Metals	HMP-700024437	4.25e-06
Biocides	HMP-700024437	1.22e-06
Fluoroquinolone	HMP-700024449	3.46e-10
Aminoglycoside	HMP-700024449	4.92e-09
Lipopeptide	HMP-700024449	2.18e-11
Peptide	HMP-700024449	1.02e-11
Tetracycline derivative	HMP-700024449	1.23e-07
Streptogramin	HMP-700024449	1.10e-07
Macrolide	HMP-700024449	1.11e-07
Sulfonamide	HMP-700024449	8.03e-12
Aminocoumarin	HMP-700024449	6.30e-11
Rifamycin	HMP-700024449	7.21e-11
Diaminopyrimidine	HMP-700024449	1.62e-09
Nucleoside	HMP-700024449	2.74e-09
Beta-lactam	HMP-700024449	1.09e-07
Phenicol	HMP-700024449	8.55e-10
Lincosamide	HMP-700024449	1.11e-07
Glycopeptide	HMP-700024449	1.20e-11
Coumarin	HMP-700024449	1.20e-07
Rifampin	HMP-700024449	1.98e-07
Sulfonamides	HMP-700024449	4.18e-08
Fluoroquinolones	HMP-700024449	4.45e-07
Metals	HMP-700024449	3.01e-06
Biocides	HMP-700024449	1.25e-06
Fluoroquinolone	HMP-700024509	1.25e-11
Aminoglycoside	HMP-700024509	5.72e-10
Lipopeptide	HMP-700024509	3.07e-11
Tetracycline derivative	HMP-700024509	2.68e-07
Streptogramin	HMP-700024509	4.02e-08
Macrolide	HMP-700024509	6.32e-08
Diaminopyrimidine	HMP-700024509	6.29e-10
Nucleoside	HMP-700024509	3.64e-11
Beta-lactam	HMP-700024509	3.38e-08
Phenicol	HMP-700024509	1.10e-10
Lincosamide	HMP-700024509	4.11e-08
Coumarin	HMP-700024509	7.93e-08
Rifampin	HMP-700024509	1.27e-07
Sulfonamides	HMP-700024509	4.70e-08
Fluoroquinolones	HMP-700024509	2.44e-07
Metals	HMP-700024509	3.00e-06
Biocides	HMP-700024509	1.05e-06
Fluoroquinolone	HMP-700024615	6.57e-12
Aminoglycoside	HMP-700024615	9.32e-10
Lipopeptide	HMP-700024615	1.90e-11
Tetracycline derivative	HMP-700024615	1.87e-07
Streptogramin	HMP-700024615	2.29e-08
Macrolide	HMP-700024615	3.27e-08
Aminocoumarin	HMP-700024615	3.31e-12
Diaminopyrimidine	HMP-700024615	1.32e-10
Nucleoside	HMP-700024615	3.82e-11
Beta-lactam	HMP-700024615	1.99e-07
Phenicol	HMP-700024615	6.57e-12
Lincosamide	HMP-700024615	1.35e-08
Glycopeptide	HMP-700024615	2.13e-11
Coumarin	HMP-700024615	8.84e-08
Rifampin	HMP-700024615	1.78e-07
Sulfonamides	HMP-700024615	3.84e-08
Fluoroquinolones	HMP-700024615	3.68e-07
Metals	HMP-700024615	3.17e-06
Biocides	HMP-700024615	1.34e-06
Fluoroquinolone	HMP-700024711	2.10e-11
Aminoglycoside	HMP-700024711	2.60e-10
Tetracycline derivative	HMP-700024711	1.68e-07
Streptogramin	HMP-700024711	4.67e-08
Macrolide	HMP-700024711	5.61e-08
Rifamycin	HMP-700024711	6.91e-12
Diaminopyrimidine	HMP-700024711	5.92e-10
Nucleoside	HMP-700024711	3.00e-10
Beta-lactam	HMP-700024711	1.31e-07
Phenicol	HMP-700024711	2.90e-11
Lincosamide	HMP-700024711	3.46e-08
Glycopeptide	HMP-700024711	9.85e-11
Coumarin	HMP-700024711	5.61e-08
Rifampin	HMP-700024711	2.13e-07
Sulfonamides	HMP-700024711	3.23e-08
Fluoroquinolones	HMP-700024711	5.56e-07
Metals	HMP-700024711	3.78e-06
Biocides	HMP-700024711	1.57e-06
Fluoroquinolone	HMP-700024752	7.64e-12
Aminoglycoside	HMP-700024752	2.13e-09
Tetracycline derivative	HMP-700024752	2.74e-07
Streptogramin	HMP-700024752	3.55e-08
Macrolide	HMP-700024752	4.57e-08
Diaminopyrimidine	HMP-700024752	4.37e-09
Nucleoside	HMP-700024752	1.63e-11
Beta-lactam	HMP-700024752	9.20e-09
Phenicol	HMP-700024752	3.34e-10
Lincosamide	HMP-700024752	2.43e-08
Glycopeptide	HMP-700024752	1.80e-10
Coumarin	HMP-700024752	3.68e-08
Rifampin	HMP-700024752	9.47e-08
Sulfonamides	HMP-700024752	5.96e-09
Fluoroquinolones	HMP-700024752	1.76e-07
Metals	HMP-700024752	3.35e-06
Biocides	HMP-700024752	1.48e-06
Fluoroquinolone	HMP-700024866	1.08e-11
Aminoglycoside	HMP-700024866	2.17e-08
Lipopeptide	HMP-700024866	7.52e-11
Peptide	HMP-700024866	8.22e-11
