category	sample	sum_abund	groups
Metals	bgi-NLM004	3.44776575663e-06	Metals
Biocides	bgi-NLM004	7.3695778245e-07	Biocides
Aminoglycoside	bgi-N079A	1.95176507485e-08	Ab (determinants)
Tetracycline derivative	bgi-N079A	2.84207359638e-07	Ab (determinants)
Nucleoside	bgi-N079A	0	Ab (determinants)
Pleuromutilin	bgi-N079A	0	Ab (determinants)
Diaminopyrimidine	bgi-N079A	4.77946323118e-09	Ab (determinants)
Glycopeptide	bgi-N079A	0	Ab (determinants)
Lincosamide	bgi-N079A	1.19679187273e-07	Ab (determinants)
Streptogramin	bgi-N079A	1.13720222424e-07	Ab (determinants)
Sulfonamide	bgi-N079A	6.85478291592e-10	Ab (determinants)
Aminonucleoside	bgi-N079A	0	Ab (determinants)
Aminocoumarin	bgi-N079A	1.37192916286e-10	Ab (determinants)
Mixture	bgi-N079A	1.95306272277e-08	Ab (determinants)
Miscellaneous	bgi-N079A	1.42177004627e-09	Ab (determinants)
Rifamycin	bgi-N079A	2.78922207138e-10	Ab (determinants)
Lipopeptide	bgi-N079A	7.3566847842e-11	Ab (determinants)
Fluoroquinolone	bgi-N079A	4.37380778499e-10	Ab (determinants)
Oxazolidinone	bgi-N079A	0	Ab (determinants)
Acridine dye	bgi-N079A	0	Ab (determinants)
Macrolide	bgi-N079A	1.14082226127e-07	Ab (determinants)
Phenicol	bgi-N079A	5.55795530895e-10	Ab (determinants)
Elfamycin	bgi-N079A	0	Ab (determinants)
Beta-lactam	bgi-N079A	5.73338576033e-08	Ab (determinants)
Peptide	bgi-N079A	0	Ab (determinants)
Coumarin	bgi-N079A	1.40029625902e-09	Ab (mutations)
Rifampin	bgi-N079A	6.03924581452e-09	Ab (mutations)
Sulfonamides	bgi-N079A	5.51746301217e-09	Ab (mutations)
Fluoroquinolones	bgi-N079A	5.01071675623e-08	Ab (mutations)
Metals	bgi-T2D-143A	3.75937609381e-06	Metals
Biocides	bgi-T2D-143A	1.03070756377e-06	Biocides
Aminoglycoside	bgi-T2D-54A	5.85473613946e-08	Ab (determinants)
Tetracycline derivative	bgi-T2D-54A	5.55319851025e-07	Ab (determinants)
Nucleoside	bgi-T2D-54A	1.63068416484e-09	Ab (determinants)
Pleuromutilin	bgi-T2D-54A	0	Ab (determinants)
Diaminopyrimidine	bgi-T2D-54A	6.84208015782e-09	Ab (determinants)
Glycopeptide	bgi-T2D-54A	3.062761943e-10	Ab (determinants)
Lincosamide	bgi-T2D-54A	1.65552787777e-07	Ab (determinants)
Streptogramin	bgi-T2D-54A	1.63483595173e-07	Ab (determinants)
Sulfonamide	bgi-T2D-54A	5.57125986105e-09	Ab (determinants)
Aminonucleoside	bgi-T2D-54A	0	Ab (determinants)
Aminocoumarin	bgi-T2D-54A	9.36336130615e-10	Ab (determinants)
Mixture	bgi-T2D-54A	4.82257443853e-08	Ab (determinants)
Miscellaneous	bgi-T2D-54A	9.82383372836e-11	Ab (determinants)
Rifamycin	bgi-T2D-54A	3.52014691079e-10	Ab (determinants)
Lipopeptide	bgi-T2D-54A	1.34331009989e-09	Ab (determinants)
Fluoroquinolone	bgi-T2D-54A	2.06265499305e-09	Ab (determinants)
Oxazolidinone	bgi-T2D-54A	0	Ab (determinants)
Acridine dye	bgi-T2D-54A	0	Ab (determinants)
Macrolide	bgi-T2D-54A	1.65121120462e-07	Ab (determinants)
Phenicol	bgi-T2D-54A	1.40705140207e-09	Ab (determinants)
Elfamycin	bgi-T2D-54A	0	Ab (determinants)
Beta-lactam	bgi-T2D-54A	1.9866234588e-07	Ab (determinants)
Peptide	bgi-T2D-54A	2.50668904369e-10	Ab (determinants)
Coumarin	bgi-T2D-54A	2.23330877392e-09	Ab (mutations)
Rifampin	bgi-T2D-54A	3.36952238669e-09	Ab (mutations)
Sulfonamides	bgi-T2D-54A	4.15258999838e-09	Ab (mutations)
Fluoroquinolones	bgi-T2D-54A	4.28883119859e-08	Ab (mutations)
Metals	bgi-DLF006	2.6155904561e-06	Metals
Biocides	bgi-DLF006	1.70510717257e-06	Biocides
Aminoglycoside	bgi-BGI003A	1.86018716973e-08	Ab (determinants)
Tetracycline derivative	bgi-BGI003A	2.24495136232e-07	Ab (determinants)
Nucleoside	bgi-BGI003A	0	Ab (determinants)
Pleuromutilin	bgi-BGI003A	0	Ab (determinants)
Diaminopyrimidine	bgi-BGI003A	1.1997640489e-08	Ab (determinants)
Glycopeptide	bgi-BGI003A	3.31248475634e-11	Ab (determinants)
Lincosamide	bgi-BGI003A	9.89703217703e-08	Ab (determinants)
Streptogramin	bgi-BGI003A	9.79927917254e-08	Ab (determinants)
Sulfonamide	bgi-BGI003A	2.20747546485e-09	Ab (determinants)
Aminonucleoside	bgi-BGI003A	0	Ab (determinants)
Aminocoumarin	bgi-BGI003A	3.44242429456e-09	Ab (determinants)
Mixture	bgi-BGI003A	1.79219838574e-08	Ab (determinants)
Miscellaneous	bgi-BGI003A	1.92124115868e-10	Ab (determinants)
Rifamycin	bgi-BGI003A	1.50518574966e-09	Ab (determinants)
Lipopeptide	bgi-BGI003A	5.20375598594e-09	Ab (determinants)
Fluoroquinolone	bgi-BGI003A	8.42072476258e-09	Ab (determinants)
Oxazolidinone	bgi-BGI003A	0	Ab (determinants)
Acridine dye	bgi-BGI003A	0	Ab (determinants)
Macrolide	bgi-BGI003A	1.01819683482e-07	Ab (determinants)
Phenicol	bgi-BGI003A	1.95815362275e-09	Ab (determinants)
Elfamycin	bgi-BGI003A	0	Ab (determinants)
Beta-lactam	bgi-BGI003A	1.41662667912e-08	Ab (determinants)
Peptide	bgi-BGI003A	9.80463288753e-10	Ab (determinants)
Coumarin	bgi-BGI003A	2.91735144156e-09	Ab (mutations)
Rifampin	bgi-BGI003A	7.15839299949e-09	Ab (mutations)
Sulfonamides	bgi-BGI003A	1.67481377974e-08	Ab (mutations)
Fluoroquinolones	bgi-BGI003A	4.27776395114e-08	Ab (mutations)
Metals	bgi-N028A	2.82966577203e-06	Metals
Biocides	bgi-N028A	1.05231835381e-06	Biocides
Metals	bgi-DLM024	3.03772820732e-05	Metals
Biocides	bgi-DLM024	2.07225347336e-05	Biocides
Metals	bgi-SZEY-40A	4.49108011636e-06	Metals
Biocides	bgi-SZEY-40A	1.65479398281e-06	Biocides
Aminoglycoside	bgi-N044A	9.55098407505e-09	Ab (determinants)
Tetracycline derivative	bgi-N044A	2.45718933758e-07	Ab (determinants)
Nucleoside	bgi-N044A	0	Ab (determinants)
Pleuromutilin	bgi-N044A	0	Ab (determinants)
Diaminopyrimidine	bgi-N044A	1.85305020802e-09	Ab (determinants)
Glycopeptide	bgi-N044A	0	Ab (determinants)
Lincosamide	bgi-N044A	9.81759954165e-08	Ab (determinants)
Streptogramin	bgi-N044A	9.28557174911e-08	Ab (determinants)
Sulfonamide	bgi-N044A	4.62113918005e-09	Ab (determinants)
Aminonucleoside	bgi-N044A	0	Ab (determinants)
Aminocoumarin	bgi-N044A	9.32860969081e-10	Ab (determinants)
Mixture	bgi-N044A	4.85690918091e-09	Ab (determinants)
Miscellaneous	bgi-N044A	0	Ab (determinants)
Rifamycin	bgi-N044A	4.51406559998e-10	Ab (determinants)
Lipopeptide	bgi-N044A	1.45405823911e-09	Ab (determinants)
Fluoroquinolone	bgi-N044A	2.37138808539e-09	Ab (determinants)
Oxazolidinone	bgi-N044A	0	Ab (determinants)
Acridine dye	bgi-N044A	0	Ab (determinants)
Macrolide	bgi-N044A	1.01611048553e-07	Ab (determinants)
Phenicol	bgi-N044A	2.33131610116e-09	Ab (determinants)
Elfamycin	bgi-N044A	0	Ab (determinants)
Beta-lactam	bgi-N044A	6.79618488274e-08	Ab (determinants)
Peptide	bgi-N044A	6.95970847514e-10	Ab (determinants)
Coumarin	bgi-N044A	1.85855095659e-09	Ab (mutations)
Rifampin	bgi-N044A	8.07507936088e-09	Ab (mutations)
Sulfonamides	bgi-N044A	3.48752438636e-09	Ab (mutations)
Fluoroquinolones	bgi-N044A	7.00243217353e-08	Ab (mutations)
Metals	bgi-NOF002	2.55150841996e-06	Metals
Biocides	bgi-NOF002	1.36135237311e-06	Biocides
Aminoglycoside	bgi-NLM001	1.54901892416e-08	Ab (determinants)
Tetracycline derivative	bgi-NLM001	2.90114929359e-07	Ab (determinants)
Nucleoside	bgi-NLM001	3.62091788667e-10	Ab (determinants)
Pleuromutilin	bgi-NLM001	0	Ab (determinants)
Diaminopyrimidine	bgi-NLM001	5.73125256382e-09	Ab (determinants)
Glycopeptide	bgi-NLM001	5.14302697219e-11	Ab (determinants)
Lincosamide	bgi-NLM001	2.01751304018e-07	Ab (determinants)
Streptogramin	bgi-NLM001	1.92562038032e-07	Ab (determinants)
Sulfonamide	bgi-NLM001	2.97812333257e-10	Ab (determinants)
Aminonucleoside	bgi-NLM001	0	Ab (determinants)
Aminocoumarin	bgi-NLM001	1.97532555335e-08	Ab (determinants)
Mixture	bgi-NLM001	3.30693878581e-08	Ab (determinants)
Miscellaneous	bgi-NLM001	1.88272844525e-10	Ab (determinants)
Rifamycin	bgi-NLM001	6.80582191462e-09	Ab (determinants)
Lipopeptide	bgi-NLM001	2.91720927149e-08	Ab (determinants)
Fluoroquinolone	bgi-NLM001	4.12564103002e-08	Ab (determinants)
Oxazolidinone	bgi-NLM001	0	Ab (determinants)
Acridine dye	bgi-NLM001	0	Ab (determinants)
Macrolide	bgi-NLM001	2.13017249796e-07	Ab (determinants)
Phenicol	bgi-NLM001	7.28132591833e-09	Ab (determinants)
Elfamycin	bgi-NLM001	0	Ab (determinants)
Beta-lactam	bgi-NLM001	1.6691302832e-07	Ab (determinants)
Peptide	bgi-NLM001	4.83469531872e-09	Ab (determinants)
Coumarin	bgi-NLM001	2.35764534504e-09	Ab (mutations)
Rifampin	bgi-NLM001	7.53944472445e-09	Ab (mutations)
Sulfonamides	bgi-NLM001	4.99413899505e-10	Ab (mutations)
Fluoroquinolones	bgi-NLM001	3.42399138593e-08	Ab (mutations)
Metals	bgi-T2D-29A	4.67886759547e-06	Metals
Biocides	bgi-T2D-29A	2.09121769899e-06	Biocides
Aminoglycoside	bgi-NLM003	3.33162996216e-08	Ab (determinants)
Tetracycline derivative	bgi-NLM003	4.41702914697e-07	Ab (determinants)
Nucleoside	bgi-NLM003	2.5788299423e-09	Ab (determinants)
Pleuromutilin	bgi-NLM003	0	Ab (determinants)
Diaminopyrimidine	bgi-NLM003	3.9926068531e-09	Ab (determinants)
Glycopeptide	bgi-NLM003	0	Ab (determinants)
Lincosamide	bgi-NLM003	2.32587940121e-07	Ab (determinants)
Streptogramin	bgi-NLM003	2.25929830081e-07	Ab (determinants)
Sulfonamide	bgi-NLM003	4.97026647538e-08	Ab (determinants)
Aminonucleoside	bgi-NLM003	0	Ab (determinants)
Aminocoumarin	bgi-NLM003	3.35461372508e-08	Ab (determinants)
Mixture	bgi-NLM003	5.49354155071e-08	Ab (determinants)
Miscellaneous	bgi-NLM003	0	Ab (determinants)
Rifamycin	bgi-NLM003	1.15529109314e-08	Ab (determinants)
Lipopeptide	bgi-NLM003	5.46938491788e-08	Ab (determinants)
Fluoroquinolone	bgi-NLM003	8.37772280868e-08	Ab (determinants)
Oxazolidinone	bgi-NLM003	0	Ab (determinants)
Acridine dye	bgi-NLM003	0	Ab (determinants)
Macrolide	bgi-NLM003	2.64590861106e-07	Ab (determinants)
Phenicol	bgi-NLM003	1.51379483421e-08	Ab (determinants)
Elfamycin	bgi-NLM003	0	Ab (determinants)
Beta-lactam	bgi-NLM003	2.19867640395e-07	Ab (determinants)
Peptide	bgi-NLM003	8.95644664045e-09	Ab (determinants)
Coumarin	bgi-NLM003	5.61901331183e-09	Ab (mutations)
Rifampin	bgi-NLM003	1.86135893731e-08	Ab (mutations)
Sulfonamides	bgi-NLM003	1.05706710719e-09	Ab (mutations)
Fluoroquinolones	bgi-NLM003	7.4904829492e-08	Ab (mutations)
Metals	bgi-T2D-142A	4.62072560898e-06	Metals
Biocides	bgi-T2D-142A	2.11997353932e-06	Biocides
Aminoglycoside	bgi-T2D-12A	3.05013007915e-08	Ab (determinants)
Tetracycline derivative	bgi-T2D-12A	2.20161119719e-07	Ab (determinants)
Nucleoside	bgi-T2D-12A	1.68734063911e-10	Ab (determinants)
Pleuromutilin	bgi-T2D-12A	0	Ab (determinants)
Diaminopyrimidine	bgi-T2D-12A	4.76380170697e-09	Ab (determinants)
Glycopeptide	bgi-T2D-12A	2.4322575761e-10	Ab (determinants)
Lincosamide	bgi-T2D-12A	8.9678886627e-08	Ab (determinants)
Streptogramin	bgi-T2D-12A	8.33270761142e-08	Ab (determinants)
Sulfonamide	bgi-T2D-12A	8.38491071943e-09	Ab (determinants)
Aminonucleoside	bgi-T2D-12A	0	Ab (determinants)
Aminocoumarin	bgi-T2D-12A	6.71808970054e-08	Ab (determinants)
Mixture	bgi-T2D-12A	8.21055632287e-08	Ab (determinants)
Miscellaneous	bgi-T2D-12A	4.63327142707e-10	Ab (determinants)
Rifamycin	bgi-T2D-12A	2.22918754566e-08	Ab (determinants)
Lipopeptide	bgi-T2D-12A	1.01190060374e-07	Ab (determinants)
Fluoroquinolone	bgi-T2D-12A	1.54579787532e-07	Ab (determinants)
Oxazolidinone	bgi-T2D-12A	0	Ab (determinants)
Acridine dye	bgi-T2D-12A	0	Ab (determinants)
Macrolide	bgi-T2D-12A	1.47130276053e-07	Ab (determinants)
Phenicol	bgi-T2D-12A	2.25683493795e-08	Ab (determinants)
Elfamycin	bgi-T2D-12A	0	Ab (determinants)
Beta-lactam	bgi-T2D-12A	1.83284625413e-07	Ab (determinants)
Peptide	bgi-T2D-12A	1.71573634732e-08	Ab (determinants)
Coumarin	bgi-T2D-12A	3.27350071526e-09	Ab (mutations)
Rifampin	bgi-T2D-12A	6.05938358673e-09	Ab (mutations)
Sulfonamides	bgi-T2D-12A	1.71406082079e-08	Ab (mutations)
Fluoroquinolones	bgi-T2D-12A	3.87244659872e-08	Ab (mutations)
Aminoglycoside	bgi-SZEY-35A	4.88417584224e-08	Ab (determinants)
Tetracycline derivative	bgi-SZEY-35A	3.74717082288e-07	Ab (determinants)
Nucleoside	bgi-SZEY-35A	0	Ab (determinants)
Pleuromutilin	bgi-SZEY-35A	0	Ab (determinants)
Diaminopyrimidine	bgi-SZEY-35A	3.03248148599e-08	Ab (determinants)
Glycopeptide	bgi-SZEY-35A	0	Ab (determinants)
Lincosamide	bgi-SZEY-35A	4.03328055454e-07	Ab (determinants)
Streptogramin	bgi-SZEY-35A	3.14060834055e-07	Ab (determinants)
Sulfonamide	bgi-SZEY-35A	3.26510230767e-09	Ab (determinants)
Aminonucleoside	bgi-SZEY-35A	0	Ab (determinants)
Aminocoumarin	bgi-SZEY-35A	2.98751578887e-09	Ab (determinants)
Mixture	bgi-SZEY-35A	4.79469753296e-08	Ab (determinants)
Miscellaneous	bgi-SZEY-35A	0	Ab (determinants)
Rifamycin	bgi-SZEY-35A	1.13541389206e-09	Ab (determinants)
Lipopeptide	bgi-SZEY-35A	6.29144746057e-09	Ab (determinants)
Fluoroquinolone	bgi-SZEY-35A	9.64519827971e-09	Ab (determinants)
Oxazolidinone	bgi-SZEY-35A	0	Ab (determinants)
Acridine dye	bgi-SZEY-35A	0	Ab (determinants)
Macrolide	bgi-SZEY-35A	3.23931471027e-07	Ab (determinants)
Phenicol	bgi-SZEY-35A	2.04133745637e-08	Ab (determinants)
Elfamycin	bgi-SZEY-35A	0	Ab (determinants)
Beta-lactam	bgi-SZEY-35A	3.039562527e-08	Ab (determinants)
Peptide	bgi-SZEY-35A	1.0407575479e-09	Ab (determinants)
Coumarin	bgi-SZEY-35A	5.87454167493e-09	Ab (mutations)
Rifampin	bgi-SZEY-35A	6.51241723362e-09	Ab (mutations)
Sulfonamides	bgi-SZEY-35A	1.82485738746e-09	Ab (mutations)
Fluoroquinolones	bgi-SZEY-35A	4.66778029222e-08	Ab (mutations)
Metals	bgi-DLM008	1.32736033508e-06	Metals
Biocides	bgi-DLM008	4.67826558658e-07	Biocides
Aminoglycoside	bgi-DLM001	1.23455823772e-08	Ab (determinants)
Tetracycline derivative	bgi-DLM001	2.65441097411e-07	Ab (determinants)
Nucleoside	bgi-DLM001	0	Ab (determinants)
Pleuromutilin	bgi-DLM001	0	Ab (determinants)
Diaminopyrimidine	bgi-DLM001	4.60206814495e-09	Ab (determinants)
Glycopeptide	bgi-DLM001	6.48522144035e-11	Ab (determinants)
Lincosamide	bgi-DLM001	9.51734516526e-08	Ab (determinants)
Streptogramin	bgi-DLM001	9.64762133332e-08	Ab (determinants)
Sulfonamide	bgi-DLM001	8.10970193945e-10	Ab (determinants)
Aminonucleoside	bgi-DLM001	0	Ab (determinants)
Aminocoumarin	bgi-DLM001	7.23341098174e-09	Ab (determinants)
Mixture	bgi-DLM001	1.52577792882e-08	Ab (determinants)
Miscellaneous	bgi-DLM001	0	Ab (determinants)
